Event Code,Event,Timestamp,MAC Address
1062,Aborted,05-05-2018 01:25,00:00:07:3B:0A:BF
1062,Aborted,05-05-2018 04:30,00:00:01:4E:0C:63
1062,Aborted,05-05-2018 04:51,00:00:02:7E:A2:01
1062,Aborted,05-05-2018 11:05,00:00:07:73:E4:5E
1062,Aborted,05-05-2018 12:23,00:00:04:E3:10:AB
1062,Aborted,05-05-2018 16:55,00:00:07:4B:7D:CD
1062,Aborted,05-05-2018 18:52,00:00:07:41:D0:E4
1062,Aborted,05-05-2018 19:17,00:00:07:3D:A7:3E
1062,Aborted,05-05-2018 20:22,00:00:04:D7:B7:A7
1062,Aborted,05-05-2018 19:28,00:00:07:56:FB:4A
1062,Aborted,05-05-2018 20:36,00:00:04:D5:25:07
1062,Aborted,05-05-2018 21:07,00:00:02:D5:D1:78
1062,Aborted,05-05-2018 21:34,00:00:04:8D:B1:B6
1062,Aborted,05-05-2018 21:45,00:00:02:50:09:95
1062,Aborted,05-05-2018 23:21,00:00:00:D9:49:1C
1062,Aborted,05-05-2018 23:39,00:00:06:B0:9D:0A
